specimen_id,species,sectionid,spore_count,min_length,10_length,90_length,max_length,min_width,10_width,90_width,max_width,min_q,avg_q,max_q,amyloid,shape
30275,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,
30276,Amanita sp 3,Validae,,,,,,,,,,,,,,
30277,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,
30278,Amanita sp 61,Vaginatae,,,,,,,,,,,,,,
30279,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30280,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30281,Amanita sp 44,Vaginatae,,,,,,,,,,,,,,
30282,Amanita sp 44,Vaginatae,,,,,,,,,,,,,,
30283,Amanita flavorubens,Validae,,,,,,,,,,,,,,
30284,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,
30285,Amanita sp 44,Vaginatae,,,,,,,,,,,,,,
30286,Amanita porphyria,Validae,,,,,,,,,,,,,,
30287,Amanita cf lavendula,Validae,,,,,,,,,,,,,,
30291,Amanita cf lavendula,Validae,,,,,,,,,,,,,,
30293,Amanita porphyria,Validae,,,,,,,,,,,,,,
40220,Amanita aff citrina,Validae,,,,,,,,,,,,,,
30187_2,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,
30187_3,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,
30193_2,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,
30193_3,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,
30194_2,Amanita2,Vaginatae,,,,,,,,,,,,,,
30199_2,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30199_3,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30199_4,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30204_2,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30204_3,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30204_4,Amanita sub/am,Phalloideae,,,,,,,,,,,,,,
30208_2,Amanita aff  citrina,Validae,,,,,,,,,,,,,,
30223_2,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,
30223_3,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,
30224_2,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,
30226_2,Amanita sp NY06,Amanita,,,,,,,,,,,,,,
30230_2,Amanita aff  rubescens,Validae,,,,,,,,,,,,,,
30230_3,Amanita aff  rubescens,Validae,,,,,,,,,,,,,,
30230_4,Amanita aff  rubescens,Validae,,,,,,,,,,,,,,
30230_5,Amanita aff  rubescens,Validae,,,,,,,,,,,,,,
30230_6,Amanita aff  rubescens,Validae,,,,,,,,,,,,,,
30230_7,Amanita aff  rubescens,Validae,,,,,,,,,,,,,,
30230_8,Amanita aff  rubescens,Validae,,,,,,,,,,,,,,
30239_2,Amanita virginiana,Caesareae,,,,,,,,,,,,,,
30249_2,Amanita sp NY06,Amanita,,,,,,,,,,,,,,
30250_2,Amanita coryli,Vaginatae,,,,,,,,,,,,,,
30257_2,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,
30274_2,Amanita sp ,Amidella,,,,,,,,,,,,,,
30280_2,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_3,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_4,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_5,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_6,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
30280_7,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,31+ species,,,,,,,,,,,,,,,
