specimen_id,species,sectionid,spore_count,min_length,10_length,avg_length,90_length,max_length,min_width,10_width,avg_width,90_width,max_width,min_q,avg_q,max_q,,,,,,,
30222,Amanita multisquamosa,Amanita,21,9.5,10,10.54762,11.5,12,7.5,8,8.595238,9.5,9.5,1,1.230673497,1.5,,,,,,,
30223,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,,,,,,,,
30224,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,,,,,,,,
30225,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30226,Amanita aff gemmata,Amanita,25,6.5,7.5,7.88,8.5,9,6.5,7,7.66,8,8.5,1,1.029238095,1,,,,,,,
30227,Amanita aff gemmata,Amanita,,,,,,,,,,,,,,,,,,,,,
30228,Amanita flavoconia,Validae,,,,,,,,,,,,,,,,,,,,,
30229,Amanita frostiana,Amanita,,,,,,,,,,,,,,,,,,,,,
30230,Amanita rubescens var alba,Validae,25,8,8,8.78,10,10,6,6,6.86,7.5,8,1,1.284666667,1.5,,,,,,,
30231,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30232,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30233,Amanita rhacopus,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30234,Amanita rhacopus,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30235,Amanita solaniolens,Validae,,,,,,,,,,,,,,,,,,,,,
30236,Amanita solaniolens,Validae,,,,,,,,,,,,,,,,,,,,,
30237,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30238,Amanita flavorubens,Validae,25,6.5,6.5,7.28,8,9.5,5,5.5,5.9,6.5,7,1,1.23976357,1.5,,,,,,,
30239,Amanita virginiana,Caesareae,13,15.5,16,17.11538,18,20,12.5,12.5,13.153846,14,14.5,1.2,1.3,1.4,,,,,,,
30240,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30242,Amanita frostiana,Amanita,,,,,,,,,,,,,,,,,,,,,
30243,Amanita fulva,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30244,Amanita cf coryli,Vaginatae,22,9.5,10.5,11.34091,12.5,13,9.5,10,10.613636,11,12,0.9,1.1,1.2,,,,,,,
30245,Amanita fulva,Vaginatae,25,8.5,10,10.84,11.5,12,10,10,11.28,12.5,13,1,0.963833552,1,,,,,,,
30246,Amanita brunnescens,Validae,,,,,,,,,,,,,,,,,,,,,
30247,Amanita griseoumbonata,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30248,Amanita brunnescens,Validae,25,7,7.5,8.22,9,9.5,7,7,7.88,8.5,9,1,1.04390056,1,,,,,,,
30249,Amanita aff gemmata,Amanita,20,8,8.5,9.175,10,10,8,8.5,8.775,9.5,10,1,1.046956699,1,,,,,,,
30250,Amanita cf coryli,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30251,Amanita cf coryli,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30252,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30253,Amanita brunnescens,Validae,,,,,,,,,,,,,,,,,,,,,
30254,Amanita brunnescens,Validae,,,,,,,,,,,,,,,,,,,,,
30255,Amanita fulva,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30256,Amanita rhacopus,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30257,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30258,Amanita brunnescens,Validae,,,,,,,,,,,,,,,,,,,,,
30259,Amanita brunnescens,Validae,,,,,,,,,,,,,,,,,,,,,
30260,Amanita solaniolens,Validae,,,,,,,,,,,,,,,,,,,,,
30261,Amanita frostiana,Amanita,,,,,,,,,,,,,,,,,,,,,
30262,Amanita sp subnigra,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30263,Amanita brunnescens,Validae,,,,,,,,,,,,,,,,,,,,,
30264,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30265,Amanita brunnescens,Validae,,,,,,,,,,,,,,,,,,,,,
30267,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30268,Amanita sp jakeslandingensis,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30269,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30270,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30271,Amanita brunnescens,Validae,,,,,,,,,,,,,,,,,,,,,
30272,Amanita brunnescens,Validae,,,,,,,,,,,,,,,,,,,,,
30273,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30274,Amanita firma,Amidella,25,11,11,12.04,13.5,14.5,6.5,7,8.06,9,9,1,1.504182647,2,,,,,,,
30275,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30276,Amanita aff molliuscula (IN46),Validae,25,10,11,12.32,14,14.5,6,6.5,7.58,8.5,9,1.5,1.630945306,2,,,,,,,
30277,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30278,Amanita sp 61,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30279,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30280,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30281,Amanita fusca,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30282,Amanita fusca,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30283,Amanita flavorubens,Validae,,,,,,,,,,,,,,,,,,,,,
30284,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30285,Amanita fusca,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30286,Amanita porphyria,Validae,,,,,,,,,,,,,,,,,,,,,
30287,Amanita cf lavendula,Validae,,,,,,,,,,,,,,,,,,,,,
30291,Amanita cf lavendula,Validae,,,,,,,,,,,,,,,,,,,,,
30293,Amanita porphyria,Validae,,,,,,,,,,,,,,,,,,,,,
30295,Amanita banningiana,Caesareae,25,9.5,9.5,10.56,11.5,12,6.5,6.5,7.3,8,8.5,1.5,1.449987072,1.5,,,,,,,
30300,Amanita sp ami2,Amidella,25,11.5,12.5,13.64,15,16,4,4,4.66,5,5,2.5,2.939777778,3.5,,,,,,,
40220,Amanita aff citrina,Validae,,,,,,,,,,,,,,,,,,,,,
30187_2,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30187_3,Amanita suballiacea,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30193_2,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30193_3,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30194_2,Amanita sp,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30199_2,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30199_3,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30199_4,Amanita bisporigera,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30204_2,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30204_3,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30204_4,Amanita amerivirosa,Phalloideae,,,,,,,,,,,,,,,,,,,,,
30208_2,Amanita aff citrina,Validae,,,,,,,,,,,,,,,,,,,,,
30223_2,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,,,,,,,,
30223_3,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,,,,,,,,
30224_2,Amanita multisquamosa,Amanita,,,,,,,,,,,,,,,,,,,,,
30226_2,Amanita aff gemmata,Amanita,,,,,,,,,,,,,,,,,,,,,
30230_2,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30230_3,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30230_4,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30230_5,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30230_6,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30230_7,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30230_8,Amanita rubescens var alba,Validae,,,,,,,,,,,,,,,,,,,,,
30239_2,Amanita virginiana,Caesareae,,,,,,,,,,,,,,,,,,,,,
30249_2,Amanita aff gemmata,Amanita,,,,,,,,,,,,,,,,,,,,,
30250_2,Amanita cf coryli,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30257_2,Amanita albiceps,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30274_2,Amanita firma,Amidella,,,,,,,,,,,,,,,,,,,,,
30280_2,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30280_3,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30280_4,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30280_5,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30280_6,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,,,,,,,,
30280_7,Amanita populiphila,Vaginatae,,,,,,,,,,,,,,,,,,,,,
